1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
Razem dział,757,"1 500 000,00","222 444,95","222 444,95","0,00","0,00","0,00","0,00","0,00",
Razem dział,758,"591 036,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,801,"35 548 602,00","28 648 041,32","8 988 225,99","1 696 440,39","0,00","0,00","0,00","0,00",
Razem dział,851,"1 053 745,00","715 201,19","210 375,87","37 909,02","0,00","0,00","0,00","0,00",
Razem dział,852,"5 687 415,86","3 300 407,49","1 352 599,63","142 563,46","0,00","0,00","0,00","0,00",
Razem dział,853,"19 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,854,"2 272 640,00","1 920 989,55","590 558,68","124 764,93","0,00","0,00","0,00","0,00",
Razem dział,855,"24 168 417,20","7 213 527,85","6 663 813,03","68 065,86","0,00","0,00","0,00","0,00",
Razem dział,900,"12 758 414,00","3 391 850,78","2 347 046,70","446 838,29","0,00","0,00","0,00","0,00",
Razem dział,921,"4 636 500,00","4 274 500,00","1 031 700,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,926,"5 719 580,00","3 611 515,85","1 027 543,42","380 984,74","0,00","0,00","0,00","0,00",
RAZEM,"127 473 643,06","72 897 343,40","27 422 732,63","3 495 423,56","0,00","0,00","0,00","0,00",,
Wyjaśnienia do sprawozdania Rb-28S
